motif_id	motif_alt_id	sequence_name	start	stop	strand	score	p-value	q-value	matched_sequence
MA0506.1	NRF1	chr1	10636	10646	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10637	10647	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10642	10652	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10643	10653	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10665	10675	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10666	10676	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10671	10681	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10672	10682	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10694	10704	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10695	10705	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10700	10710	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10701	10711	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10723	10733	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10724	10734	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10729	10739	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10730	10740	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10752	10762	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10753	10763	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10758	10768	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10759	10769	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10781	10791	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10782	10792	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10787	10797	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10788	10798	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10830	10840	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10831	10841	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10853	10863	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10854	10864	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10859	10869	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10860	10870	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10906	10916	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10907	10917	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10929	10939	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	10930	10940	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	10935	10945	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10936	10946	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	10982	10992	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	10983	10993	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	142393	142403	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	181151	181161	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181152	181162	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181174	181184	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	181175	181185	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	181180	181190	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181181	181191	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181203	181213	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	181204	181214	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	181209	181219	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181210	181220	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181238	181248	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181239	181249	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181267	181277	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181268	181278	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181290	181300	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	181291	181301	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	181296	181306	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181297	181307	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181319	181329	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	181320	181330	+	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	181325	181335	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181326	181336	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181419	181429	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181420	181430	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	181496	181506	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	181497	181507	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	377295	377305	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	377296	377306	+	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	501002	501012	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	605487	605497	-	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	605488	605498	+	14.2182	9.54e-06		
MA0506.1	NRF1	chr1	742732	742742	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	869960	869970	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	940683	940693	-	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	942429	942439	-	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	959288	959298	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	998721	998731	-	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	1041346	1041356	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	1041347	1041357	+	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	1046765	1046775	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	1053786	1053796	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	1069341	1069351	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1069342	1069352	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	1089190	1089200	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1113893	1113903	-	14.5455	7.87e-06		
MA0506.1	NRF1	chr1	1157971	1157981	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	1197463	1197473	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	1231541	1231551	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1232199	1232209	-	17.2364	1.19e-06		
MA0506.1	NRF1	chr1	1232200	1232210	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	1232227	1232237	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1232429	1232439	+	14.5273	8.11e-06		
MA0506.1	NRF1	chr1	1238343	1238353	-	14.9636	5.25e-06		
MA0506.1	NRF1	chr1	1241466	1241476	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	1251057	1251067	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1274000	1274010	+	15.6545	2.38e-06		
MA0506.1	NRF1	chr1	1292893	1292903	-	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	1297158	1297168	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297204	1297214	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297292	1297302	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297430	1297440	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297518	1297528	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297656	1297666	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1297742	1297752	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	1308520	1308530	-	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	1308521	1308531	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1324658	1324668	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1324659	1324669	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1328009	1328019	+	14.6364	6.91e-06		
MA0506.1	NRF1	chr1	1337171	1337181	-	14.1636	9.78e-06		
MA0506.1	NRF1	chr1	1428272	1428282	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	1512152	1512162	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1574898	1574908	-	14.9273	5.48e-06		
MA0506.1	NRF1	chr1	1599974	1599984	-	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	1615333	1615343	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1616239	1616249	-	15.4364	3.1e-06		
MA0506.1	NRF1	chr1	1630444	1630454	-	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	1630445	1630455	+	16.4364	1.91e-06		
MA0506.1	NRF1	chr1	1642361	1642371	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1659248	1659258	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1659249	1659259	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	1709493	1709503	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1724559	1724569	-	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1724560	1724570	+	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	1778470	1778480	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	1778471	1778481	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	1778488	1778498	+	14.8182	5.96e-06		
MA0506.1	NRF1	chr1	1782610	1782620	-	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	1782611	1782621	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	1833509	1833519	+	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	1980529	1980539	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	2189592	2189602	-	14.6545	6.68e-06		
MA0506.1	NRF1	chr1	2207965	2207975	-	14.8182	5.96e-06		
MA0506.1	NRF1	chr1	2214789	2214799	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	2229315	2229325	+	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	2306223	2306233	+	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	2323063	2323073	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	2348589	2348599	+	15.3273	3.34e-06		
MA0506.1	NRF1	chr1	2404158	2404168	-	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	2471331	2471341	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	2543836	2543846	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	2643193	2643203	-	17.7273	7.15e-07		
MA0506.1	NRF1	chr1	2643194	2643204	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	2848206	2848216	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	3090436	3090446	+	15.5455	2.86e-06		
MA0506.1	NRF1	chr1	3122179	3122189	+	14.9636	5.25e-06		
MA0506.1	NRF1	chr1	3247662	3247672	-	14.4364	8.58e-06		
MA0506.1	NRF1	chr1	3247663	3247673	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	3253021	3253031	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	3341565	3341575	+	14.6364	6.91e-06		
MA0506.1	NRF1	chr1	3408155	3408165	-	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	3456345	3456355	-	16.7455	1.43e-06		
MA0506.1	NRF1	chr1	3462825	3462835	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	3494997	3495007	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	3593379	3593389	+	15.1273	4.53e-06		
MA0506.1	NRF1	chr1	3624798	3624808	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	3627992	3628002	+	14.8182	5.96e-06		
MA0506.1	NRF1	chr1	3650836	3650846	-	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	3747493	3747503	+	15.0364	5.01e-06		
MA0506.1	NRF1	chr1	3857225	3857235	-	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	3857226	3857236	+	16.7273	1.67e-06		
MA0506.1	NRF1	chr1	3857256	3857266	-	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	3857257	3857267	+	18.2364	2.38e-07		
MA0506.1	NRF1	chr1	3857403	3857413	+	15.6364	2.62e-06		
MA0506.1	NRF1	chr1	3964785	3964795	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	4412035	4412045	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	4629708	4629718	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	5818910	5818920	+	15.2364	3.58e-06		
MA0506.1	NRF1	chr1	6045585	6045595	+	14.7273	6.44e-06		
MA0506.1	NRF1	chr1	6065143	6065153	-	14.3091	9.3e-06		
MA0506.1	NRF1	chr1	6065247	6065257	+	14.6182	7.63e-06		
MA0506.1	NRF1	chr1	6180856	6180866	-	14.4545	8.34e-06		
MA0506.1	NRF1	chr1	6218719	6218729	+	16.4364	1.91e-06		
