#chr	start	stop	name	score	strand	p.value
chr1	11122	11341	site1	22.4839	-	9.17e-09
chr1	11180	11399	site2	20.7581	-	5.22e-08
chr1	24681	24900	site3	16.5645	-	1.31e-06
chr1	91319	91538	site4	15.1774	+	3.11e-06
chr1	104884	105103	site5	15.6613	-	2.32e-06
chr1	131227	131446	site6	13.1452	+	9.84e-06
chr1	132714	132933	site7	14.5645	-	4.46e-06
chr1	137393	137612	site8	16.9677	+	1e-06
chr1	138870	139089	site9	19.0968	+	2.15e-07
chr1	139129	139348	site10	14.4677	+	4.72e-06
chr1	181641	181860	site11	22.4839	-	9.17e-09
chr1	181699	181918	site12	20.7581	-	5.22e-08
chr1	195206	195425	site13	16.5645	-	1.31e-06
chr1	196475	196694	site14	17.1774	-	8.68e-07
chr1	267898	268117	site15	14.129	+	5.72e-06
chr1	281448	281667	site16	15.6613	-	2.32e-06
chr1	357280	357499	site17	14.8065	+	3.88e-06
chr1	378645	378864	site18	13.8871	+	6.56e-06
chr1	381096	381315	site19	19.4677	+	1.6e-07
chr1	381164	381383	site20	19.4677	+	1.6e-07
chr1	381232	381451	site21	19.4677	+	1.6e-07
chr1	381300	381519	site22	19.4677	+	1.6e-07
chr1	381368	381587	site23	19.4677	+	1.6e-07
chr1	381436	381655	site24	19.4677	+	1.6e-07
chr1	381504	381723	site25	19.4677	+	1.6e-07
chr1	381572	381791	site26	18.7097	+	2.9e-07
chr1	396024	396243	site27	15.4677	+	2.61e-06
chr1	449689	449908	site28	18.3871	+	3.69e-07
chr1	462224	462443	site29	14.4839	+	4.68e-06
chr1	487214	487433	site30	13.1452	+	9.84e-06
chr1	488701	488920	site31	14.5645	-	4.46e-06
chr1	492595	492814	site32	16.9677	+	1e-06
chr1	494072	494291	site33	19.0968	+	2.15e-07
chr1	494331	494550	site34	14.4677	+	4.72e-06
chr1	586052	586271	site35	14.8065	+	3.88e-06
chr1	606831	607050	site36	13.8871	+	6.56e-06
chr1	609282	609501	site37	19.4677	+	1.6e-07
chr1	609350	609569	site38	19.4677	+	1.6e-07
chr1	609418	609637	site39	19.4677	+	1.6e-07
chr1	609486	609705	site40	19.4677	+	1.6e-07
chr1	609550	609769	site41	19.4677	+	1.6e-07
chr1	609618	609837	site42	19.4677	+	1.6e-07
chr1	609686	609905	site43	19.4677	+	1.6e-07
chr1	609754	609973	site44	19.4677	+	1.6e-07
chr1	609822	610041	site45	16.0161	+	1.86e-06
chr1	609890	610109	site46	19.4677	+	1.6e-07
chr1	609958	610177	site47	19.4677	+	1.6e-07
chr1	610022	610241	site48	19.4677	+	1.6e-07
chr1	610090	610309	site49	19.4677	+	1.6e-07
chr1	610158	610377	site50	19.4677	+	1.6e-07
chr1	610226	610445	site51	19.4677	+	1.6e-07
chr1	610294	610513	site52	16.0161	+	1.86e-06
chr1	610362	610581	site53	19.4677	+	1.6e-07
chr1	610430	610649	site54	16.0161	+	1.86e-06
chr1	610498	610717	site55	19.4677	+	1.6e-07
chr1	610566	610785	site56	19.4677	+	1.6e-07
chr1	610634	610853	site57	19.4677	+	1.6e-07
chr1	625912	626131	site58	15.4677	+	2.61e-06
chr1	684665	684884	site59	18.3871	+	3.69e-07
chr1	697200	697419	site60	14.4839	+	4.68e-06
chr1	723698	723917	site61	14.5645	-	4.46e-06
chr1	727501	727720	site62	16.9677	+	1e-06
chr1	728978	729197	site63	19.0968	+	2.15e-07
chr1	729237	729456	site64	14.4677	+	4.72e-06
chr1	778700	778919	site65	14.2742	-	5.27e-06
chr1	803681	803900	site66	14.9516	+	3.56e-06
chr1	850451	850670	site67	13.371	-	8.71e-06
chr1	869817	870036	site68	20.7419	+	5.3e-08
chr1	873064	873283	site69	13.4194	-	8.48e-06
chr1	875085	875304	site70	14.0968	-	5.83e-06
chr1	904667	904886	site71	23.6452	+	1.92e-09
chr1	914920	915139	site72	13.6452	+	7.5e-06
chr1	919686	919905	site73	16.871	+	1.07e-06
chr1	921091	921310	site74	13.8548	-	6.68e-06
chr1	933285	933504	site75	13.1774	+	9.67e-06
chr1	938141	938360	site76	15.8387	-	2.08e-06
chr1	938198	938417	site77	15.8387	-	2.08e-06
chr1	948215	948434	site78	14.129	-	5.72e-06
chr1	951458	951677	site79	15.0806	-	3.3e-06
chr1	984216	984435	site80	23.9516	+	1.11e-09
chr1	995510	995729	site81	14.4194	+	4.85e-06
chr1	1001925	1002144	site82	15.3065	-	2.88e-06
chr1	1013677	1013896	site83	13.2581	+	9.26e-06
chr1	1015453	1015672	site84	13.6452	+	7.5e-06
chr1	1026278	1026497	site85	13.4032	+	8.56e-06
chr1	1032480	1032699	site86	14.3871	+	4.94e-06
chr1	1051721	1051940	site87	14.5484	-	4.5e-06
chr1	1054635	1054854	site88	16.5806	-	1.29e-06
chr1	1063863	1064082	site89	22.8065	-	6.18e-09
chr1	1090582	1090801	site90	13.2581	+	9.26e-06
chr1	1142758	1142977	site91	13.371	+	8.71e-06
chr1	1146146	1146365	site92	14.4839	+	4.68e-06
chr1	1155790	1156009	site93	14.6129	+	4.34e-06
chr1	1180030	1180249	site94	13.1452	+	9.84e-06
